"crf3d_bottomcappingpassivationmaterial","new_bulkpassivationmaterial","crf3d_cellactiveareacm2","crf3d_encapsulationadhesive","crf3d_encapsulationmaterial","crf3d_etlcoatingmethod","crf3d_etlmaterial","crf3d_htlcoatingmethod","crf3d_htlmaterial","importsequencenumber","crf3d_isencapsulated","crf3d_moduleactiveareacm2","crf3d_numberofcells","crf3d_operatorname","crf3d_optionalnotes","crf3d_p1patterningmethod","crf3d_p2patterningmethod","crf3d_p3patterningmethod","crf3d_perovskitecoatingmethod","crf3d_perovskitecomposition","crf3d_sampleid","crf3d_sampletype","crf3d_sample_dataid","crf3d_stacktype","statuscode","statecode","crf3d_substratematerial","timezoneruleversionnumber","crf3d_topcappingpassivationmaterial","crf3d_topmetallizationmaterial","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"PEAI","[""4Cl-BZS"",""FACl""]","0.15","Osilla E132 UV-curable","Glass","[""Thermal evaporation"",""ALD""]","C60/SnOx","Spin coating","MeO-4PAcZ (1.0 mM)","","True","0","6","Seid","","","","","Verde slot coating (small)","CsFAPI","051024_FAPI_SA_MeO-4PAcZ_4Cl-BZS_3MTPAI_C60_SnO2_Cu_C2","Cell","fc0c399e-fb24-ef11-840a-6045bd081c15","PIN","1","0","Glass/ITO","","3MTPAI","Copper","","2031323","3799e5d2-711e-ef11-840b-6045bd0856db"
"PEAI","[""FACl"",""4Cl-BZS""]","0.15","Osilla E132 UV-curable","Glass","[""Thermal evaporation"",""ALD""]","C60/SnOx","Spin coating","MeO-4PAcZ (1.0 mM)","","True","0","6","Seid","","","","","Verde slot coating (small)","CsFAPI","051024_FAPI_SA_MeO-4PAcZ_4Cl-BZS_3MTPAI_C60_SnO2_Cu_C1","Cell","3d54be31-fb24-ef11-840a-6045bd081c15","PIN","1","0","Glass/ITO","","3MTPAI","Copper","","2031321","3799e5d2-711e-ef11-840b-6045bd0856db"
"DPPP","[""FACl""]","0.15","Osilla E132 UV-curable","Glass","[""Thermal evaporation""]","C60/BCP","Verde slot coating (small)","NiOx","","True","0","6","Pramod","","","","","Verde slot coating (small)","CsFAPI","060524_FAPI_SA_NiOx_4D_3MTPAI_BCP_C2","Cell","7e9f1776-4c23-ef11-840a-000d3a35e35e","PIN","1","0","Glass/FTO","","3MTPAI","Copper","","1733055","3799e5d2-711e-ef11-840b-6045bd0856db"
"PEAI","[""FACl""]","0","Osilla E132 UV-curable","Glass","[""Thermal evaporation"",""Verde slot coating (large)""]","C60/SnOx","Spin coating","MeO-4PAcZ (1.0 mM)","","True","0","6","Seid","","","","","Verde slot coating (small)","CsFAPI","060524_FAPI_SA_3MPTAI_C60_SnO2_C5","Cell","5e31a0e7-4823-ef11-840a-000d3a35e35e","PIN","1","0","Glass/ITO","","3MTPAI","Copper","","1721720","3799e5d2-711e-ef11-840b-6045bd0856db"
"PEAI","[""FACl""]","0.15","Osilla E132 UV-curable","Glass","[""Thermal evaporation"",""ALD""]","C60/SnOx","Spin coating","MeO-4PAcZ (1.0 mM)","","True","0","6","Seid","","","","","Verde slot coating (small)","CsFAPI","060524_FAPI_SA_3MPTAI_C60_SnO2_C4","Cell","951581fb-4723-ef11-840a-000d3a35e35e","PIN","1","0","Glass/ITO","","3MTPAI","Copper","","1721717","3799e5d2-711e-ef11-840b-6045bd0856db"
"PEAI","[""FACl""]","0.15","Osilla E132 UV-curable","Glass","[""Thermal evaporation"",""ALD""]","C60/SnOx","Spin coating","MeO-4PAcZ (1.0 mM)","","True","0","6","Seid","","","","","Verde slot coating (small)","CsFAPI","060524_FAPI_SA_3MPTAI_C60_SnO2_C2","Cell","2b176140-4723-ef11-840a-000d3a35e35e","PIN","1","0","Glass/ITO","","PEAI","Copper","","1721715","3799e5d2-711e-ef11-840b-6045bd0856db"
"PEAI","[""MACl""]","0.15","Osilla E132 UV-curable","Glass","[""Thermal evaporation"",""ALD""]","C60/SnOx","Spin coating","MeO-4PAcZ (1.0 mM)","","True","0","6","Seid","Contaminated MACl and Contaminated 2-ME used to fabricate the device. ","","","","Verde slot coating (small)","CsFAPI","060524_FAPI_SA_3MPTAI_C60_SnO2_C1","Cell","164c9295-4623-ef11-840a-000d3a35e35e","PIN","1","0","Glass/ITO","","3MTPAI","Copper","","1721712","3799e5d2-711e-ef11-840b-6045bd0856db"
